22:58:55:505 	Début initialisation

22:58:55:505 	Chemin de l'application : C:\Users\remi\Documents\GitHub\agregation\Chimgéné

22:58:55:529 	Appel base de données correct

22:58:55:531 	Ouverture de la collection : C:\Users\remi\Documents\GitHub\agregation\Chimgéné\Bases\Collection_mélanges_defaut

22:58:55:533 	Ouverture de la collection : C:\Users\remi\Documents\GitHub\agregation\Chimgéné\Bases\Collection_mélanges_defaut

22:58:55:536 	Ouverture de la collection : C:\Users\remi\Documents\GitHub\agregation\Chimgéné\Bases\Collection_constantes_defaut

22:58:55:537 	Ouverture de la collection : C:\Users\remi\Documents\GitHub\agregation\Chimgéné\Bases\Collection_constantes_defaut

22:58:55:538 	Ouverture de la collection : C:\Users\remi\Documents\GitHub\agregation\Chimgéné\Bases\Collection_fonction_defaut

22:58:55:539 	Ouverture de la collection : C:\Users\remi\Documents\GitHub\agregation\Chimgéné\Bases\Collection_fonction_defaut

22:58:55:541 	prof

22:58:55:901 	Passage module simulation : Accueil

22:58:55:972 	Passage module graphe : Page graphe

22:58:56:002 	Passage module simulation : Accueil

22:58:56:002 	Fin initialisation

22:58:59:103 	Passage module simulation : 

22:59:02:815 	Passage module simulation : Dosage

23:00:02:839 	Simulation dosage : 

23:00:02:965 	Passage module graphe : Page graphe

23:00:09:134 	Passage module simulation : Dosage

23:00:10:452 	Passage module graphe : Page graphe

23:00:11:299 	Passage module graphe 3D: Page graphe 3D

23:00:14:419 	Passage module simulation : Dosage

