Fréquence (Hz)	Niveau (dB)
2,691650	-74,645706
5,383301	-71,688065
8,074951	-70,878609
10,766602	-71,060860
13,458252	-69,912811
16,149902	-69,972969
18,841553	-70,224480
21,533203	-70,224312
24,224854	-71,496231
26,916504	-71,640503
29,608154	-71,520889
32,299805	-71,153206
34,991455	-71,819725
37,683105	-72,017151
40,374756	-71,863686
43,066406	-71,384514
45,758057	-71,967880
48,449707	-71,423111
51,141357	-71,288963
53,833008	-71,278435
56,524658	-71,143257
59,216309	-70,843117
61,907959	-72,357262
64,599609	-73,106575
67,291260	-73,603065
69,982910	-73,304214
72,674561	-74,097481
75,366211	-74,239227
78,057861	-73,660294
80,749512	-72,400940
83,441162	-73,489655
86,132813	-74,589149
88,824463	-72,729774
91,516113	-72,153786
94,207764	-73,750252
96,899414	-73,059395
99,591064	-71,935272
102,282715	-73,636482
104,974365	-75,002716
107,666016	-76,178513
110,357666	-74,808006
113,049316	-75,632011
115,740967	-76,053688
118,432617	-76,324303
121,124268	-75,895332
123,815918	-75,808044
126,507568	-77,092392
129,199219	-76,704659
131,890869	-75,492943
134,582520	-76,672493
137,274170	-77,955154
139,965820	-75,976448
142,657471	-75,377388
145,349121	-75,879555
148,040771	-77,823753
150,732422	-76,142090
153,424072	-76,114120
156,115723	-76,435837
158,807373	-76,913254
161,499023	-77,803604
164,190674	-78,123741
166,882324	-77,733978
169,573975	-77,517334
172,265625	-77,034943
174,957275	-75,964607
177,648926	-76,047287
180,340576	-76,855080
183,032227	-77,053589
185,723877	-76,588356
188,415527	-76,695618
191,107178	-76,103485
193,798828	-76,317627
196,490479	-76,088173
199,182129	-76,832848
201,873779	-76,792091
204,565430	-77,945755
207,257080	-77,589691
209,948730	-77,320625
212,640381	-78,024956
215,332031	-78,261040
218,023682	-78,269562
220,715332	-77,706863
223,406982	-77,166466
226,098633	-78,887756
228,790283	-78,684639
231,481934	-78,881538
234,173584	-78,556488
236,865234	-78,439621
239,556885	-79,341652
242,248535	-78,020950
244,940186	-78,137535
247,631836	-77,083733
250,323486	-76,255936
253,015137	-78,405838
255,706787	-79,835434
258,398438	-79,230331
261,090088	-79,464790
263,781738	-79,407173
266,473389	-78,887695
269,165039	-79,776939
271,856689	-79,116089
274,548340	-80,787666
277,239990	-79,626442
279,931641	-78,227859
282,623291	-79,329185
285,314941	-79,155136
288,006592	-79,202965
290,698242	-80,138596
293,389893	-80,435966
296,081543	-79,993828
298,773193	-78,150215
301,464844	-77,983658
304,156494	-78,240234
306,848145	-79,129845
309,539795	-79,436813
312,231445	-79,383301
314,923096	-79,602295
317,614746	-79,266205
320,306396	-78,780991
322,998047	-78,750465
325,689697	-79,926132
328,381348	-80,949585
331,072998	-79,864548
333,764648	-79,507973
336,456299	-80,053711
339,147949	-81,702019
341,839600	-80,404915
344,531250	-78,903976
347,222900	-79,536667
349,914551	-81,003418
352,606201	-82,120880
355,297852	-81,449226
357,989502	-79,844574
360,681152	-80,571236
363,372803	-79,095863
366,064453	-79,127136
368,756104	-81,234528
371,447754	-81,866386
374,139404	-80,762764
376,831055	-80,491493
379,522705	-81,555504
382,214355	-81,170235
384,906006	-80,490295
387,597656	-80,578400
390,289307	-80,489151
392,980957	-79,753761
395,672607	-80,140327
398,364258	-79,774834
401,055908	-81,567795
403,747559	-80,938538
406,439209	-80,322952
409,130859	-80,675903
411,822510	-81,583702
414,514160	-81,956139
417,205811	-81,009041
419,897461	-81,627235
422,589111	-80,136345
425,280762	-79,463272
427,972412	-82,635712
430,664063	-82,925873
433,355713	-81,551285
436,047363	-81,518303
438,739014	-81,373268
441,430664	-81,243904
444,122314	-80,988174
446,813965	-81,571640
449,505615	-81,827522
452,197266	-80,646690
454,888916	-80,119537
457,580566	-80,397957
460,272217	-81,385620
462,963867	-81,673676
465,655518	-81,951134
468,347168	-82,213173
471,038818	-81,308952
473,730469	-81,211319
476,422119	-81,252365
479,113770	-81,151085
481,805420	-81,082741
484,497070	-80,472725
487,188721	-80,379936
489,880371	-80,415054
492,572021	-80,914581
495,263672	-80,988983
497,955322	-81,781982
500,646973	-81,928940
503,338623	-83,144897
506,030273	-83,315514
508,721924	-81,947441
511,413574	-81,500710
514,105225	-81,715157
516,796875	-83,622299
519,488525	-82,423080
522,180176	-81,789955
524,871826	-81,911186
527,563477	-82,894478
530,255127	-82,607422
532,946777	-82,651619
535,638428	-81,015602
538,330078	-82,708763
541,021729	-82,354378
543,713379	-81,640663
546,405029	-81,663551
549,096680	-82,487053
551,788330	-83,783310
554,479980	-83,309128
557,171631	-81,926956
559,863281	-82,414337
562,554932	-82,582970
565,246582	-80,844986
567,938232	-81,508072
570,629883	-82,420021
573,321533	-82,849411
576,013184	-82,308289
578,704834	-83,517395
581,396484	-83,405174
584,088135	-82,881187
586,779785	-82,735207
589,471436	-83,236092
592,163086	-85,179611
594,854736	-83,053192
597,546387	-82,827820
600,238037	-82,149895
602,929688	-83,996964
605,621338	-83,723381
608,312988	-83,525032
611,004639	-83,619949
613,696289	-83,172966
616,387939	-82,534950
619,079590	-81,613655
621,771240	-82,478333
624,462891	-84,875351
627,154541	-82,377396
629,846191	-81,549759
632,537842	-81,353394
635,229492	-82,878227
637,921143	-84,219894
640,612793	-84,510490
643,304443	-81,884850
645,996094	-80,548454
648,687744	-80,956589
651,379395	-81,938164
654,071045	-81,765671
656,762695	-82,297050
659,454346	-82,666710
662,145996	-82,408730
664,837646	-82,300316
667,529297	-83,770004
670,220947	-83,652763
672,912598	-83,842880
675,604248	-83,771187
678,295898	-83,097672
680,987549	-82,470551
683,679199	-84,259102
686,370850	-83,558807
689,062500	-83,372787
691,754150	-81,839874
694,445801	-82,684525
697,137451	-83,752991
699,829102	-83,901688
702,520752	-83,530434
705,212402	-82,625412
707,904053	-82,931786
710,595703	-83,737587
713,287354	-83,032578
715,979004	-83,974930
718,670654	-84,580742
721,362305	-83,982292
724,053955	-82,792969
726,745605	-82,783234
729,437256	-83,909966
732,128906	-83,840569
734,820557	-84,237480
737,512207	-83,222672
740,203857	-83,669914
742,895508	-83,763626
745,587158	-83,015099
748,278809	-83,456314
750,970459	-82,678543
753,662109	-82,652824
756,353760	-83,250107
759,045410	-83,339203
761,737061	-82,649422
764,428711	-82,780922
767,120361	-83,454193
769,812012	-85,397530
772,503662	-84,440147
775,195313	-84,039917
777,886963	-84,357376
780,578613	-84,849266
783,270264	-84,698143
785,961914	-84,695541
788,653564	-83,957855
791,345215	-83,191673
794,036865	-84,072983
796,728516	-83,717651
799,420166	-83,602188
802,111816	-83,882484
804,803467	-83,167625
807,495117	-83,830727
810,186768	-82,890457
812,878418	-82,388596
815,570068	-84,280807
818,261719	-85,227791
820,953369	-85,027649
823,645020	-84,398232
826,336670	-84,516945
829,028320	-83,548309
831,719971	-84,652176
834,411621	-84,042313
837,103271	-84,134094
839,794922	-84,288383
842,486572	-85,395248
845,178223	-84,111031
847,869873	-85,285103
850,561523	-85,899391
853,253174	-84,949860
855,944824	-83,851295
858,636475	-83,672691
861,328125	-85,256798
864,019775	-85,231880
866,711426	-83,163879
869,403076	-84,366615
872,094727	-85,088776
874,786377	-84,742897
877,478027	-85,430923
880,169678	-86,803673
882,861328	-85,899040
885,552979	-86,835213
888,244629	-83,511955
890,936279	-84,395653
893,627930	-85,781868
896,319580	-85,025017
899,011230	-83,246628
901,702881	-84,130249
904,394531	-84,219078
907,086182	-84,674782
909,777832	-83,280952
912,469482	-84,096992
915,161133	-83,731247
917,852783	-84,299034
920,544434	-84,119217
923,236084	-84,737549
925,927734	-84,311058
928,619385	-84,036743
931,311035	-85,835541
934,002686	-85,084610
936,694336	-86,171677
939,385986	-86,420197
942,077637	-84,826698
944,769287	-84,782768
947,460938	-84,387474
950,152588	-83,780663
952,844238	-83,743736
955,535889	-84,226112
958,227539	-84,625122
960,919189	-85,140366
963,610840	-83,735016
966,302490	-84,228622
968,994141	-84,058418
971,685791	-83,949554
974,377441	-84,901329
977,069092	-84,209419
979,760742	-84,946777
982,452393	-85,632401
985,144043	-85,506340
987,835693	-84,445778
990,527344	-84,629822
993,218994	-85,818069
995,910645	-85,422844
998,602295	-86,078613
1001,293945	-85,977081
1003,985596	-85,104263
1006,677246	-83,915581
1009,368896	-84,691284
1012,060547	-86,038948
1014,752197	-85,906708
1017,443848	-86,897240
1020,135498	-85,802704
1022,827148	-84,805717
1025,518799	-84,821640
1028,210449	-85,063362
1030,902100	-86,240433
1033,593750	-87,454735
1036,285400	-87,773621
1038,977051	-85,794495
1041,668701	-84,155518
1044,360352	-84,078293
1047,052002	-85,472511
1049,743652	-86,892342
1052,435303	-86,074928
1055,126953	-87,130341
1057,818604	-84,927574
1060,510254	-85,293129
1063,201904	-85,778763
1065,893555	-85,525139
1068,585205	-84,908241
1071,276855	-84,929008
1073,968506	-84,878532
1076,660156	-83,687653
1079,351807	-83,013428
1082,043457	-84,794388
1084,735107	-85,021233
1087,426758	-84,746689
1090,118408	-85,380486
1092,810059	-85,754280
1095,501709	-86,198448
1098,193359	-87,596161
1100,885010	-86,365067
1103,576660	-86,445053
1106,268311	-85,491089
1108,959961	-85,355530
1111,651611	-86,065910
1114,343262	-85,570801
1117,034912	-85,649338
1119,726563	-85,350746
1122,418213	-86,864273
1125,109863	-86,838020
1127,801514	-88,564514
1130,493164	-87,922523
1133,184814	-85,670296
1135,876465	-85,010399
1138,568115	-84,244202
1141,259766	-85,857430
1143,951416	-86,077370
1146,643066	-85,539185
1149,334717	-85,317772
1152,026367	-85,814217
1154,718018	-86,576103
1157,409668	-87,173149
1160,101318	-87,465126
1162,792969	-86,605141
1165,484619	-85,807274
1168,176270	-85,886375
1170,867920	-85,469208
1173,559570	-84,824326
1176,251221	-85,921356
1178,942871	-87,255783
1181,634521	-85,190292
1184,326172	-85,098434
1187,017822	-86,083160
1189,709473	-85,327110
1192,401123	-84,506119
1195,092773	-86,246895
1197,784424	-85,516830
1200,476074	-85,653610
1203,167725	-85,555374
1205,859375	-84,818596
1208,551025	-85,799431
1211,242676	-86,666733
1213,934326	-86,510956
1216,625977	-86,257553
1219,317627	-84,967438
1222,009277	-85,379883
1224,700928	-86,824150
1227,392578	-86,441696
1230,084229	-85,409805
1232,775879	-85,098518
1235,467529	-85,609116
1238,159180	-85,359764
1240,850830	-84,714607
1243,542480	-85,315224
1246,234131	-85,977249
1248,925781	-86,902382
1251,617432	-86,372765
1254,309082	-86,096695
1257,000732	-86,253159
1259,692383	-86,448761
1262,384033	-85,798271
1265,075684	-86,540428
1267,767334	-87,556213
1270,458984	-88,111992
1273,150635	-87,754410
1275,842285	-88,594490
1278,533936	-87,079994
1281,225586	-86,801712
1283,917236	-86,880524
1286,608887	-87,706917
1289,300537	-87,439247
1291,992188	-87,442932
1294,683838	-88,953239
1297,375488	-86,825157
1300,067139	-86,388214
1302,758789	-86,421944
1305,450439	-87,722504
1308,142090	-86,282356
1310,833740	-84,729004
1313,525391	-85,498764
1316,217041	-85,762810
1318,908691	-85,974411
1321,600342	-85,728432
1324,291992	-86,349167
1326,983643	-86,957932
1329,675293	-87,388222
1332,366943	-88,194382
1335,058594	-86,907928
1337,750244	-85,738022
1340,441895	-85,783432
1343,133545	-86,094704
1345,825195	-87,183739
1348,516846	-86,574074
1351,208496	-87,634819
1353,900146	-87,816338
1356,591797	-86,891724
1359,283447	-85,953194
1361,975098	-86,921761
1364,666748	-87,897377
1367,358398	-86,539207
1370,050049	-87,298332
1372,741699	-87,903641
1375,433350	-86,324402
1378,125000	-85,301086
1380,816650	-85,554955
1383,508301	-85,338661
1386,199951	-85,124603
1388,891602	-85,789276
1391,583252	-87,168701
1394,274902	-87,424507
1396,966553	-88,969788
1399,658203	-86,456566
1402,349854	-85,338257
1405,041504	-86,133537
1407,733154	-87,503845
1410,424805	-87,363510
1413,116455	-87,140007
1415,808105	-85,701920
1418,499756	-84,673012
1421,191406	-86,647606
1423,883057	-88,115059
1426,574707	-88,340172
1429,266357	-86,415161
1431,958008	-86,694977
1434,649658	-86,814140
1437,341309	-86,451736
1440,032959	-86,623917
1442,724609	-86,995003
1445,416260	-86,358871
1448,107910	-86,948883
1450,799561	-86,411606
1453,491211	-87,130829
1456,182861	-87,044014
1458,874512	-86,726173
1461,566162	-86,761566
1464,257813	-86,939926
1466,949463	-88,528336
1469,641113	-87,108879
1472,332764	-87,312576
1475,024414	-85,945030
1477,716064	-87,801216
1480,407715	-87,663216
1483,099365	-86,028412
1485,791016	-86,348694
1488,482666	-87,530754
1491,174316	-87,441116
1493,865967	-85,832153
1496,557617	-87,025368
1499,249268	-87,191048
1501,940918	-87,151138
1504,632568	-88,625755
1507,324219	-87,584633
1510,015869	-87,786728
1512,707520	-87,130768
1515,399170	-88,207657
1518,090820	-87,126503
1520,782471	-86,646454
1523,474121	-86,421852
1526,165771	-86,274803
1528,857422	-86,509125
1531,549072	-88,040672
1534,240723	-88,599083
1536,932373	-87,785416
1539,624023	-86,363136
1542,315674	-85,964294
1545,007324	-86,504478
1547,698975	-86,950676
1550,390625	-87,163078
1553,082275	-87,334572
1555,773926	-87,093590
1558,465576	-87,994247
1561,157227	-88,081657
1563,848877	-87,324303
1566,540527	-87,114296
1569,232178	-85,962738
1571,923828	-86,090218
1574,615479	-85,967781
1577,307129	-86,082558
1579,998779	-87,053940
1582,690430	-86,065880
1585,382080	-86,501610
1588,073730	-87,477699
1590,765381	-87,855240
1593,457031	-86,500046
1596,148682	-87,167801
1598,840332	-86,821053
1601,531982	-87,679695
1604,223633	-87,321938
1606,915283	-86,936165
1609,606934	-86,523506
1612,298584	-86,101913
1614,990234	-86,027252
1617,681885	-88,159195
1620,373535	-88,417244
1623,065186	-86,213432
1625,756836	-85,299423
1628,448486	-86,670738
1631,140137	-87,542366
1633,831787	-87,998070
1636,523438	-87,868103
1639,215088	-87,188347
1641,906738	-87,219383
1644,598389	-87,319618
1647,290039	-87,820786
1649,981689	-87,354980
1652,673340	-86,374100
1655,364990	-86,124825
1658,056641	-87,240356
1660,748291	-87,728531
1663,439941	-87,289391
1666,131592	-86,720375
1668,823242	-85,522446
1671,514893	-86,539360
1674,206543	-87,401962
1676,898193	-87,871735
1679,589844	-87,144287
1682,281494	-86,810074
1684,973145	-87,240059
1687,664795	-87,383888
1690,356445	-87,556610
1693,048096	-86,046333
1695,739746	-86,627563
1698,431396	-86,865089
1701,123047	-86,573334
1703,814697	-88,181236
1706,506348	-88,930000
1709,197998	-88,005577
1711,889648	-88,497551
1714,581299	-88,805641
1717,272949	-88,371628
1719,964600	-86,883163
1722,656250	-86,761177
1725,347900	-85,697151
1728,039551	-86,353714
1730,731201	-87,206642
1733,422852	-87,773430
1736,114502	-86,799942
1738,806152	-87,575661
1741,497803	-87,777168
1744,189453	-88,083740
1746,881104	-87,312149
1749,572754	-86,511536
1752,264404	-86,425827
1754,956055	-88,373993
1757,647705	-86,930504
1760,339355	-86,215950
1763,031006	-87,401886
1765,722656	-89,059883
1768,414307	-89,110519
1771,105957	-87,402016
1773,797607	-85,920143
1776,489258	-85,993950
1779,180908	-87,043892
1781,872559	-87,141167
1784,564209	-86,457878
1787,255859	-88,037674
1789,947510	-89,957512
1792,639160	-88,572357
1795,330811	-87,608879
1798,022461	-87,009445
1800,714111	-87,208496
1803,405762	-87,964317
1806,097412	-86,927765
1808,789063	-87,640511
1811,480713	-88,161125
1814,172363	-86,669128
