Fréquence (Hz)	Niveau (dB)
2,691650	-75,975662
5,383301	-72,591438
8,074951	-72,903221
10,766602	-72,538956
13,458252	-71,378006
16,149902	-71,005890
18,841553	-70,714828
21,533203	-70,540909
24,224854	-70,577728
26,916504	-70,730202
29,608154	-71,129196
32,299805	-72,625427
34,991455	-72,023071
37,683105	-72,253296
40,374756	-74,339783
43,066406	-73,693810
45,758057	-72,989578
48,449707	-71,997047
51,141357	-72,512253
53,833008	-72,155876
56,524658	-71,213211
59,216309	-73,112686
61,907959	-73,048660
64,599609	-72,856651
67,291260	-72,494064
69,982910	-72,068123
72,674561	-72,626022
75,366211	-73,101593
78,057861	-73,425682
80,749512	-73,916626
83,441162	-74,871201
86,132813	-74,326706
88,824463	-75,155319
91,516113	-74,491943
94,207764	-73,650978
96,899414	-73,638519
99,591064	-72,444733
102,282715	-73,626343
104,974365	-76,309486
107,666016	-75,512878
110,357666	-75,166214
113,049316	-75,670685
115,740967	-76,407280
118,432617	-76,120888
121,124268	-76,540825
123,815918	-76,451523
126,507568	-75,097969
129,199219	-75,895821
131,890869	-76,904823
134,582520	-75,882507
137,274170	-74,327530
139,965820	-73,932335
142,657471	-74,312836
145,349121	-76,760872
148,040771	-78,353127
150,732422	-76,550865
153,424072	-76,303970
156,115723	-75,885712
158,807373	-78,620178
161,499023	-78,848434
164,190674	-78,386856
166,882324	-78,641747
169,573975	-77,907372
172,265625	-77,094048
174,957275	-77,783920
177,648926	-79,945351
180,340576	-78,571083
183,032227	-76,630043
185,723877	-79,781395
188,415527	-77,838211
191,107178	-77,221504
193,798828	-75,925873
196,490479	-77,294853
199,182129	-75,412048
201,873779	-74,349922
204,565430	-67,100533
207,257080	-49,360497
209,948730	-36,546303
212,640381	-28,273323
215,332031	-30,569118
218,023682	-48,709881
220,715332	-63,791225
223,406982	-69,809441
226,098633	-74,889122
228,790283	-75,864243
231,481934	-77,052582
234,173584	-80,498482
236,865234	-79,259041
239,556885	-77,760727
242,248535	-78,269081
244,940186	-77,699303
247,631836	-77,516541
250,323486	-77,333138
253,015137	-77,997253
255,706787	-80,241760
