ÿÎ6V	pH	sigma	[H+]	[CH3COO-]	[Na+]	[OH-]	[CH3COOH]	
0.00	2.91	0.049	1.239E-3	1.263E-3	2.452E-5	8.074E-12	0.099	
0.10	3.08	0.042	8.411E-4	1.831E-3	9.901E-4	1.189E-11	0.097	
0.20	3.23	0.041	5.927E-4	2.553E-3	1.961E-3	1.687E-11	0.095	
0.30	3.35	0.044	4.427E-4	3.355E-3	2.913E-3	2.259E-11	0.094	
0.40	3.46	0.049	3.475E-4	4.194E-3	3.846E-3	2.877E-11	0.092	
0.50	3.55	0.054	2.833E-4	5.045E-3	4.762E-3	3.529E-11	0.090	
0.60	3.62	0.061	2.377E-4	5.898E-3	5.660E-3	4.208E-11	0.088	
0.70	3.69	0.067	2.037E-4	6.746E-3	6.542E-3	4.909E-11	0.087	
0.80	3.75	0.074	1.776E-4	7.585E-3	7.407E-3	5.630E-11	0.085	
0.90	3.80	0.081	1.570E-4	8.414E-3	8.257E-3	6.371E-11	0.083	
1.00	3.85	0.088	1.402E-4	9.231E-3	9.091E-3	7.131E-11	0.082	
1.10	3.90	0.095	1.264E-4	0.010	9.910E-3	7.910E-11	0.080	
1.20	3.94	0.102	1.148E-4	0.011	0.011	8.709E-11	0.078	
1.30	3.98	0.109	1.050E-4	0.012	0.012	9.527E-11	0.077	
1.40	4.02	0.116	9.648E-5	0.012	0.012	1.037E-10	0.075	
1.50	4.05	0.122	8.909E-5	0.013	0.013	1.122E-10	0.074	
1.60	4.08	0.129	8.262E-5	0.014	0.014	1.210E-10	0.072	
1.70	4.11	0.135	7.689E-5	0.015	0.015	1.301E-10	0.071	
1.80	4.14	0.142	7.179E-5	0.015	0.015	1.393E-10	0.069	
1.90	4.17	0.148	6.722E-5	0.016	0.016	1.488E-10	0.068	
2.00	4.20	0.154	6.310E-5	0.017	0.017	1.585E-10	0.067	
2.10	4.23	0.160	5.936E-5	0.017	0.017	1.684E-10	0.065	
2.20	4.25	0.166	5.597E-5	0.018	0.018	1.787E-10	0.064	
2.30	4.28	0.172	5.287E-5	0.019	0.019	1.892E-10	0.063	
2.40	4.30	0.178	5.002E-5	0.019	0.019	1.999E-10	0.061	
2.50	4.32	0.184	4.740E-5	0.020	0.020	2.110E-10	0.060	
2.60	4.35	0.190	4.498E-5	0.021	0.021	2.223E-10	0.059	
2.70	4.37	0.195	4.273E-5	0.021	0.021	2.340E-10	0.057	
2.80	4.39	0.201	4.065E-5	0.022	0.022	2.460E-10	0.056	
2.90	4.41	0.206	3.871E-5	0.023	0.022	2.583E-10	0.055	
3.00	4.43	0.211	3.690E-5	0.023	0.023	2.710E-10	0.054	
3.10	4.45	0.217	3.520E-5	0.024	0.024	2.841E-10	0.053	
3.20	4.47	0.222	3.361E-5	0.024	0.024	2.975E-10	0.051	
3.30	4.49	0.227	3.212E-5	0.025	0.025	3.114E-10	0.050	
3.40	4.51	0.232	3.071E-5	0.025	0.025	3.256E-10	0.049	
3.50	4.53	0.237	2.938E-5	0.026	0.026	3.403E-10	0.048	
3.60	4.55	0.242	2.813E-5	0.026	0.026	3.555E-10	0.047	
3.70	4.57	0.247	2.694E-5	0.027	0.027	3.711E-10	0.046	
3.80	4.59	0.252	2.582E-5	0.028	0.028	3.873E-10	0.045	
3.90	4.61	0.256	2.475E-5	0.028	0.028	4.040E-10	0.044	
4.00	4.62	0.261	2.374E-5	0.029	0.029	4.212E-10	0.043	
4.10	4.64	0.266	2.278E-5	0.029	0.029	4.390E-10	0.042	
4.20	4.66	0.270	2.186E-5	0.030	0.030	4.575E-10	0.041	
