Temps	Pendule{1}	Temps	Pendule{2}	Var
0	4.11374145001173	0	3.87164109852165	NAN
0.01	3.16753555834293	0.01	2.74747145595029	
0.02	3.48293752223253	0.02	3.01727217016742	
0.03	2.26638709008694	0.03	1.8481357418932	
0.04	2.08615739643574	0.04	1.66826859908178	
0.05	1.63558316230774	0.05	1.3535010991618	
0.06	1.18500892817974	0.06	0.858866456430405	
0.07	1.18500892817974	0.07	0.858866456430405	
0.08	0.373975306749344	0.08	0.0944310994818807	
0.09	-0.346943467855453	0.09	-0.580070686060935	
0.1	-0.121656350791454	0.1	-0.445170328952372	
0.11	-1.42832162976265	0.11	-1.34450604300946	
0.12	-1.29314935952425	0.12	-1.61430675722659	
0.13	-0.797517701983452	0.13	-1.07470532879233	
0.14	-2.19429782778025	0.14	-2.37874211417511	
0.15	-1.69866617023945	0.15	-1.83914068574086	
0.16	-3.50096310675144	0.16	-3.45794497104362	
0.17	-2.78004433214664	0.17	-2.73847639979795	
0.18	-3.68119280040264	0.18	-3.7727124709636	
0.19	-3.50096310675144	0.19	-3.41297818534076	
0.2	-4.49222642183304	0.2	-4.49218104220927	
0.21	-5.21314519643784	0.21	-5.07674925634637	
0.22	-5.12303034961224	0.22	-5.12171604204923	
0.23	-5.39337489008904	0.23	-5.07674925634637	
0.24	-6.20440851151943	0.24	-5.97608497040346	
0.25	-5.16808777302504	0.25	-5.12171604204923	
0.26	-6.42969562858343	0.26	-6.3358192560263	
0.27	-6.97038470953703	0.27	-6.65058675594628	
0.28	-6.92532728612423	0.28	-6.74052032735199	
0.29	-7.42095894366503	0.29	-6.96535425586626	
0.3	-6.97038470953703	0.3	-6.60561997024342	
0.31	-7.42095894366503	0.31	-7.10025461297482	
0.32	-8.05176287144423	0.32	-7.59488925570622	
0.33	-7.78141833096743	0.33	-7.54992247000337	
0.34	-7.78141833096743	0.34	-7.23515497008339	
0.35	-8.05176287144423	0.35	-7.81972318422049	
0.36	-8.23199256509542	0.36	-7.63985604140908	
0.37	-8.18693514168262	0.37	-7.81972318422049	
0.38	-8.27704998850822	0.38	-7.9096567556262	
0.39	-7.96164802461863	0.39	-7.37005532719195	
0.4	-8.41222225874662	0.4	-7.95462354132906	
0.41	-8.63750937581062	0.41	-7.95462354132906	
0.42	-8.23199256509542	0.42	-7.77475639851764	
0.43	-8.59245195239782	0.43	-7.99959032703191	
0.44	-8.05176287144423	0.44	-7.59488925570622	
0.45	-8.18693514168262	0.45	-7.68482282711193	
0.46	-7.15061440318823	0.46	-6.56065318454057	
0.47	-7.96164802461863	0.47	-7.45998889859766	
0.48	-7.46601636707783	0.48	-6.96535425586626	
0.49	-7.55613121390343	0.49	-7.05528782727197	
0.5	-6.83521243929863	0.5	-6.15595211321488	
0.51	-7.24072925001383	0.51	-6.69555354164913	
0.52	-7.01544213294983	0.52	-6.11098532751203	
0.53	-5.79889170080423	0.53	-5.25661639915779	
0.54	-6.11429366469383	0.54	-5.57138389907777	
0.55	-6.33958078175783	0.55	-5.61635068478063	
0.56	-5.61866200715303	0.56	-5.07674925634637	
0.57	-5.75383427739143	0.57	-4.94184889923781	
0.58	-5.03291550278664	0.58	-4.53714782791212	
0.59	-4.49222642183304	0.59	-3.72774568526074	
0.6	-4.26693930476904	0.6	-3.7727124709636	
0.61	-3.68119280040264	0.61	-2.96331032831222	
0.62	-3.68119280040264	0.62	-3.09821068542078	
0.63	-3.59107795357704	0.63	-2.87337675690651	
0.64	-2.14924040436745	0.64	-1.65927354292944	
0.65	-2.55475721508265	0.65	-2.06397461425513	
0.66	-1.20303451269865	0.66	-0.759937828872353	
0.67	-1.69866617023945	0.67	-1.25457247160375	
0.68	-0.346943467855453	0.68	0.0494643137790263	
0.69	-0.932689972221851	0.69	-0.445170328952372	
0.7	0.373975306749344	0.7	0.768932885024697	
0.71	-0.0315415039658546	0.71	0.364231813699007	
0.72	0.373975306749344	0.72	1.12866717064753	
0.73	0.779492117464542	0.73	1.21860074205324	
0.74	1.90592770278454	0.74	2.25283681321889	
0.75	1.63558316230774	0.75	1.93806931329891	
0.76	2.53673163056374	0.76	3.06223895587027	
0.77	2.35650193691254	0.77	2.74747145595029	
0.78	3.66316721588373	0.78	4.00654145563021	
0.79	3.03236328810453	0.79	3.3320396700874	
0.8	4.38408599048853	0.8	4.63607645547017	
0.81	3.79833948612213	0.81	4.14144181273878	
0.82	4.42914341390133	0.82	4.72601002687588	
0.83	4.20385629683733	0.83	4.59110966976732	
0.84	4.96983249485493	0.84	5.17567788390443	
0.85	5.01488991826773	0.85	5.22064466960728	
0.86	5.87098096311092	0.86	5.98508002655581	
0.87	5.37534930557013	0.87	5.71527931233868	
0.88	6.14132550358772	0.88	6.29984752647579	
0.89	5.91603838652372	0.89	6.16494716936722	
0.9	7.26776108890772	0.9	7.24415002623573	
0.91	6.72707200795412	0.91	7.06428288342431	
0.92	6.95235912501812	0.92	6.92938252631575	
0.93	7.71833532303572	0.93	7.78375145466998	
0.94	6.86224427819252	0.94	6.92938252631575	
0.95	8.21396698057652	0.95	8.23341931169853	
0.96	7.53810562938452	0.96	7.42401716904715	
0.97	7.31281851232052	0.97	7.28911681193858	
0.98	8.48431152105331	0.98	8.41328645450994	
0.99	7.62822047621012	0.99	7.46898395475	
1	7.71833532303572	1	7.87368502607569	
1.01	8.57442636787891	1.01	8.32335288310423	
1.02	7.67327789962292	1.02	7.46898395475	
1.03	7.35787593573332	1.03	7.15421645483002	
1.04	7.89856501668692	1.04	7.64885109756142	
1.05	7.44799078255892	1.05	7.42401716904715	
1.06	7.53810562938452	1.06	7.28911681193858	
1.07	7.08753139525652	1.07	7.01931609772146	
1.08	7.22270366549492	1.08	6.92938252631575	
1.09	6.68201458454132	1.09	6.43474788358435	
1.1	7.58316305279732	1.1	7.24415002623573	
1.11	6.32155519723892	1.11	6.07501359796152	
1.12	7.26776108890772	1.12	6.74951538350433	
1.13	5.91603838652372	1.13	5.58037895523012	
1.14	6.27649777382612	1.14	5.85017966944724	
1.15	5.55557899922132	1.15	5.17567788390443	
1.16	6.00615323334932	1.16	5.67031252663583	
1.17	5.05994734168053	1.17	4.63607645547017	
1.18	5.55557899922132	1.18	5.08574431249872	
1.19	4.47420083731413	1.19	3.96157466992736	
1.2	3.75328206270933	1.2	3.42197324149311	
1.21	4.02362660318613	1.21	3.51190681289881	
1.22	3.03236328810453	1.22	2.74747145595029	
1.23	3.84339690953493	1.23	3.3320396700874	
1.24	2.35650193691254	1.24	1.93806931329891	
1.25	2.40155936032534	1.25	2.11793645611033	
1.26	1.90592770278454	1.26	1.39846788486466	
1.27	1.41029604524374	1.27	1.17363395635039	
1.28	1.59052573889494	1.28	1.03873359924182	
1.29	0.644319847226143	1.29	0.139397885184735	
1.3	0.103630766272545	1.3	-0.2203364004381	
1.31	-0.0765989273786545	1.31	-0.535103900358081	
1.32	-0.392000891268253	1.32	-0.62503747176379	
1.33	-0.797517701983452	1.33	-1.34450604300946	
1.34	-1.74372359365225	1.34	-1.97404104284942	
1.35	-1.74372359365225	1.35	-2.15390818566084	
1.36	-2.28441267460585	1.36	-2.69350961409509	
1.37	-2.68992948532104	1.37	-2.87337675690651	
1.38	-3.14050371944904	1.38	-3.54787854244933	
1.39	-2.68992948532104	1.39	-3.18814425682649	
1.4	-3.90647991746664	1.4	-4.267347113695	
1.41	-3.72625022381544	1.41	-3.90761282807216	
1.42	-4.44716899842024	1.42	-4.76198175642639	
1.43	-4.67245611548424	1.43	-4.71701497072354	
1.44	-5.07797292619944	1.44	-5.39151675626636	
1.45	-5.07797292619944	1.45	-5.12171604204923	
1.46	-5.34831746667624	1.46	-5.61635068478063	
1.47	-6.38463820517063	1.47	-6.42575282743201	
1.48	-5.84394912421703	1.48	-5.93111818470061	
1.49	-6.47475305199623	1.49	-6.69555354164913	
1.5	-6.24946593493223	1.5	-6.24588568462059	
1.51	-7.15061440318823	1.51	-7.28012175578624	
1.52	-6.74509759247303	1.52	-6.9203874701634	
1.53	-7.69130348414183	1.53	-7.63985604140908	
1.54	-7.55613121390343	1.54	-7.59488925570622	
1.55	-7.82647575438023	1.55	-7.54992247000337	
1.56	-7.73636090755463	1.56	-7.77475639851764	
1.57	-8.32210741192102	1.57	-8.08952389843762	
1.58	-7.91659060120583	1.58	-7.86468996992335	
1.59	-7.78141833096743	1.59	-7.54992247000337	
1.6	-8.09682029485703	1.6	-7.95462354132906	
1.61	-8.36716483533382	1.61	-7.99959032703191	
1.62	-8.23199256509542	1.62	-8.04455711273476	
1.63	-7.96164802461863	1.63	-7.54992247000337	
1.64	-8.32210741192102	1.64	-8.08952389843762	
1.65	-7.73636090755463	1.65	-7.32508854148909	
1.66	-8.00670544803143	1.66	-7.77475639851764	
1.67	-6.92532728612423	1.67	-6.69555354164913	
