Temps	Pendule{1}	Temps	Pendule{2}
0	6.36661262065172	0	-6.38078604172915
0.005	6.36661262065172	0.005	-6.3358192560263
0.01	6.27649777382612	0.01	-6.65058675594628
0.015	6.41167004406452	0.015	-6.56065318454057
0.02	6.18638292700052	0.02	-6.87542068446055
0.025	6.50178489089012	0.025	-6.65058675594628
0.03	6.23144035041332	0.03	-6.78548711305484
0.035	6.50178489089012	0.035	-6.78548711305484
0.04	7.26776108890772	0.04	-6.24588568462059
0.045	7.04247397184372	0.045	-6.51568639883772
0.05	6.68201458454132	0.05	-6.9203874701634
0.055	6.72707200795412	0.055	-6.87542068446055
0.06	6.32155519723892	0.06	-7.14522139867768
0.065	6.72707200795412	0.065	-6.9203874701634
0.07	6.32155519723892	0.07	-7.19018818438053
0.075	6.68201458454132	0.075	-7.05528782727197
0.08	6.32155519723892	0.08	-7.28012175578624
0.085	6.68201458454132	0.085	-7.10025461297482
0.09	7.53810562938452	0.09	-6.38078604172915
0.095	6.95235912501812	0.095	-6.74052032735199
0.1	6.59189973771572	0.1	-7.23515497008339
0.105	6.72707200795412	0.105	-7.05528782727197
0.11	6.45672746747732	0.11	-6.96535425586626
0.115	6.50178489089012	0.115	-7.10025461297482
0.12	6.59189973771572	0.12	-7.05528782727197
0.125	6.77212943136692	0.125	-6.8304538987577
0.13	6.45672746747732	0.13	-7.14522139867768
0.135	6.50178489089012	0.135	-6.9203874701634
0.14	5.96109580993652	0.14	-7.28012175578624
0.145	6.36661262065172	0.145	-6.9203874701634
0.15	6.54684231430292	0.15	-6.65058675594628
0.155	6.41167004406452	0.155	-6.74052032735199
0.16	6.18638292700052	0.16	-6.9203874701634
0.165	6.18638292700052	0.165	-6.69555354164913
0.17	5.69075126945972	0.17	-6.9203874701634
0.175	6.00615323334932	0.175	-6.65058675594628
0.18	5.73580869287252	0.18	-6.47071961313486
0.185	5.78086611628532	0.185	-6.51568639883772
0.19	6.68201458454132	0.19	-5.66131747048348
0.195	6.63695716112852	0.195	-5.48145032767206
0.2	5.60063642263412	0.2	-6.42575282743201
0.205	6.45672746747732	0.205	-5.16668282775208
0.21	5.42040672898293	0.21	-6.20091889891773
0.215	6.05121065676212	0.215	-5.48145032767206
0.22	4.92477507144213	0.22	-6.24588568462059
0.225	5.19511961191893	0.225	-5.88615139899775
0.23	4.78960280120373	0.23	-6.02105175610632
0.235	4.92477507144213	0.235	-5.70628425618634
0.24	4.92477507144213	0.24	-5.21164961345494
0.245	4.69948795437813	0.245	-5.12171604204923
0.25	5.15006218850613	0.25	-4.94184889923781
0.255	4.69948795437813	0.255	-4.76198175642639
0.26	4.38408599048853	0.26	-5.12171604204923
0.265	5.01488991826773	0.265	-4.31231389939785
0.27	3.79833948612213	0.27	-5.21164961345494
0.275	4.06868402659893	0.275	-4.80694854212925
0.28	4.29397114366293	0.28	-4.04251318518072
0.285	3.30270782858133	0.285	-4.89688211353496
0.29	3.43788009881973	0.29	-4.58211461361498
0.295	4.02362660318613	0.295	-3.81767925666645
0.3	3.12247813493013	0.3	-4.08747997088358
0.305	3.07742071151733	0.305	-4.22238032799214
0.31	3.30270782858133	0.31	-3.59284532815218
0.315	2.62684647738934	0.315	-3.86264604236931
0.32	2.80707617104054	0.32	-3.59284532815218
0.325	3.25765040516853	0.325	-2.73847639979795
0.33	2.17627224326134	0.33	-3.59284532815218
0.335	2.35650193691254	0.335	-3.09821068542078
0.34	2.94224844127893	0.34	-2.24384175706655
0.345	1.59052573889494	0.345	-3.14317747112364
0.35	2.13121481984854	0.35	-2.51364247128367
0.355	1.50041089206934	0.355	-2.46867568558082
0.36	1.45535346865654	0.36	-2.51364247128367
0.365	2.26638709008694	0.365	-1.47940640011802
0.37	1.23006635159254	0.37	-2.19887497136369
0.375	1.90592770278454	0.375	-1.11967211449519
0.38	0.959721811115742	0.38	-1.47940640011802
0.385	0.554205000400543	0.385	-1.88410747144371
0.39	1.09489408135414	0.39	-1.07470532879233
0.395	0.148688189685345	0.395	-1.25457247160375
0.4	-0.0315415039658546	0.4	-1.38947282871231
0.405	0.193745613098145	0.405	-0.984771757386625
0.41	-0.0315415039658546	0.41	-0.535103900358081
0.415	-0.346943467855454	0.415	-0.804904614575207
0.42	0.464090153574944	0.42	0.274298242293298
0.425	-0.977747395634651	0.425	-0.670004257466644
0.43	0.103630766272545	0.43	0.544098956510425
0.435	-1.24809193611145	0.435	-0.2203364004381
0.44	-1.24809193611145	0.44	-0.0854360433295369
0.445	-1.15797708928585	0.445	0.364231813699007
0.45	-1.02280481904745	0.45	0.993766813538969
0.455	-1.78878101706505	0.455	0.364231813699007
0.46	-1.60855132341385	0.46	0.768932885024697
0.465	-1.20303451269865	0.465	1.71323538478464
0.47	-2.37452752143145	0.47	0.858866456430405
0.475	-2.10418298095465	0.475	1.26356752775609
0.48	-2.68992948532104	0.48	1.17363395635039
0.485	-2.41958494484425	0.485	1.57833502767608
0.49	-1.96901071071625	0.49	2.52263752743602
0.495	-3.09544629603624	0.495	1.62330181337893
0.5	-2.91521660238504	0.5	2.02800288470462
0.505	-2.50969979166985	0.505	2.92733859876171
0.51	-3.54602053016424	0.51	2.07296967040747
0.515	-3.32073341310024	0.515	2.52263752743602
0.52	-2.73498690873384	0.52	3.51190681289881
0.525	-4.04165218770504	0.525	2.61257109884173
0.53	-3.72625022381544	0.53	3.01727217016742
0.535	-3.81636507064104	0.535	3.46694002719596
0.54	-4.17682445794344	0.54	3.10720574157313
0.545	-3.32073341310024	0.545	4.23137538414449
0.55	-4.44716899842024	0.55	3.37700645579025
0.555	-3.54602053016424	0.555	4.50117609836161
0.56	-4.58234126865864	0.56	4.18640859844163
0.565	-4.76257096230984	0.565	3.87164109852165
0.57	-4.04165218770504	0.57	4.9058771696873
0.575	-5.12303034961224	0.575	4.00654145563021
0.58	-5.07797292619944	0.58	4.32130895555019
0.585	-4.89774323254824	0.585	5.04077752679586
0.59	-5.52854716032743	0.59	4.32130895555019
0.595	-4.94280065596104	0.595	5.13071109820157
0.6	-5.75383427739143	0.6	4.9058771696873
0.605	-5.57360458374023	0.605	4.99581074109301
0.61	-5.34831746667623	0.61	5.67031252663583
0.615	-5.88900654762983	0.615	5.08574431249872
0.62	-5.79889170080423	0.62	5.44547859812155
0.625	-6.29452335834503	0.625	5.35554502671585
0.63	-6.24946593493223	0.63	5.35554502671585
0.635	-5.48348973691463	0.635	6.25488074077293
0.64	-6.29452335834503	0.64	5.98508002655581
0.645	-6.38463820517063	0.645	5.76024609804153
0.65	-6.56486789882183	0.65	6.07501359796152
0.655	-6.47475305199623	0.655	5.94011324085295
0.66	-6.47475305199623	0.66	6.07501359796152
0.665	-6.65498274564743	0.665	6.43474788358435
0.67	-6.65498274564743	0.67	6.29984752647579
0.675	-6.60992532223463	0.675	6.74951538350433
0.68	-7.01544213294983	0.68	6.11998038366437
0.685	-6.02417881786823	0.685	7.15421645483002
0.69	-7.06049955636263	0.69	6.29984752647579
0.695	-6.11429366469383	0.695	7.28911681193858
0.7	-6.47475305199623	0.7	7.28911681193858
0.705	-7.15061440318823	0.705	6.52468145499006
0.71	-6.24946593493223	0.71	7.55891752615571
0.715	-7.28578667342663	0.715	6.56964824069291
0.72	-7.01544213294983	0.72	6.88441574061289
